date,users
2/4/14,71
2/5/14,79
2/6/14,76
2/7/14,72
2/8/14,27
2/9/14,34
2/10/14,98
2/11/14,86
2/12/14,100
2/13/14,84
2/14/14,81
2/15/14,51
2/16/14,35
2/17/14,82
2/18/14,94
2/19/14,91
2/20/14,105
2/21/14,94
2/22/14,35
2/23/14,47
2/24/14,103
2/25/14,113
2/26/14,84
2/27/14,91
2/28/14,108
3/1/14,48
3/2/14,44
3/3/14,81
3/4/14,82
3/5/14,92
3/6/14,92
3/7/14,83
3/8/14,53
3/9/14,37
3/10/14,101
3/11/14,143
3/12/14,91
3/13/14,88
3/14/14,102
3/15/14,65
3/16/14,45
3/17/14,78
3/18/14,113
3/19/14,97
3/20/14,112
3/21/14,91
3/22/14,44
3/23/14,44
3/24/14,102
3/25/14,112
3/26/14,102
3/27/14,102
3/28/14,113
3/29/14,54
3/30/14,36
3/31/14,111
4/1/14,120
4/2/14,140
4/3/14,146
4/4/14,111
4/5/14,42
4/6/14,54
4/7/14,107
4/8/14,133
4/9/14,139
4/10/14,117
4/11/14,130
4/12/14,78
4/13/14,62
4/14/14,120
4/15/14,100
4/16/14,121
4/17/14,113
4/18/14,105
4/19/14,45
4/20/14,65
4/21/14,170
4/22/14,173
4/23/14,147
4/24/14,142
4/25/14,143
4/26/14,109
4/27/14,258
4/28/14,343
4/29/14,201
4/30/14,173
5/1/14,117
5/2/14,135
5/3/14,96
5/4/14,62
5/5/14,199
5/6/14,160
5/7/14,273
5/8/14,288
5/9/14,205
5/10/14,92
5/11/14,254
5/12/14,517
5/13/14,255
5/14/14,949
5/15/14,604
5/16/14,331
5/17/14,154
5/18/14,104
5/19/14,258
5/20/14,209
5/21/14,163
5/22/14,193
5/23/14,184
5/24/14,99
5/25/14,81
5/26/14,179
5/27/14,187
5/28/14,264
5/29/14,129
5/30/14,143
5/31/14,119
6/1/14,83
6/2/14,210
6/3/14,175
6/4/14,296
6/5/14,1221
6/6/14,690
6/7/14,171
6/8/14,138
6/9/14,258
6/10/14,293
6/11/14,286
6/12/14,253
6/13/14,217
6/14/14,80
6/15/14,72
6/16/14,168
6/17/14,200
6/18/14,212
6/19/14,212
6/20/14,179
6/21/14,83
6/22/14,85
6/23/14,210
6/24/14,215
6/25/14,211
6/26/14,182
6/27/14,188
6/28/14,84
6/29/14,74
6/30/14,219
7/1/14,224
7/2/14,204
7/3/14,191
7/4/14,141
7/5/14,72
7/6/14,85
7/7/14,198
7/8/14,210
7/9/14,227
7/10/14,241
7/11/14,201
7/12/14,92
7/13/14,73
7/14/14,206
7/15/14,208
7/16/14,230
7/17/14,217
7/18/14,207
7/19/14,95
7/20/14,79
7/21/14,211
7/22/14,248
7/23/14,221
7/24/14,221
7/25/14,194
7/26/14,92
7/27/14,82
7/28/14,196
7/29/14,231
7/30/14,248
7/31/14,241
8/1/14,215
8/2/14,77
8/3/14,75
8/4/14,225
8/5/14,238
8/6/14,254
8/7/14,247
8/8/14,235
8/9/14,111
8/10/14,147
8/11/14,262
8/12/14,759
8/13/14,523
8/14/14,307
8/15/14,193
8/16/14,113
8/17/14,173
8/18/14,341
8/19/14,283
8/20/14,326
8/21/14,285
8/22/14,270
8/23/14,110
8/24/14,99
8/25/14,286
8/26/14,306
8/27/14,286
8/28/14,250
8/29/14,215
8/30/14,111
8/31/14,120
9/1/14,336
9/2/14,371
9/3/14,312
9/4/14,339
9/5/14,487
9/6/14,154
9/7/14,138
9/8/14,279
9/9/14,320
9/10/14,282
9/11/14,307
9/12/14,269
9/13/14,135
9/14/14,108
9/15/14,277
9/16/14,314
9/17/14,296
9/18/14,311
9/19/14,269
9/20/14,113
9/21/14,109
9/22/14,317
9/23/14,391
9/24/14,341
9/25/14,335
9/26/14,294
9/27/14,113
9/28/14,116
9/29/14,328
9/30/14,297
10/1/14,293
10/2/14,259
10/3/14,254
10/4/14,98
10/5/14,120
10/6/14,284
10/7/14,338
10/8/14,327
10/9/14,314
10/10/14,298
10/11/14,137
10/12/14,114
10/13/14,343
10/14/14,371
10/15/14,333
10/16/14,355
10/17/14,301
10/18/14,130
10/19/14,126
10/20/14,336
10/21/14,351
10/22/14,323
10/23/14,347
10/24/14,275
10/25/14,136
10/26/14,140
10/27/14,340
10/28/14,365
10/29/14,350
10/30/14,357
10/31/14,271
11/1/14,132
11/2/14,143
11/3/14,315
11/4/14,386
11/5/14,335
11/6/14,338
11/7/14,319
11/8/14,152
11/9/14,158
11/10/14,326
11/11/14,341
11/12/14,326
11/13/14,356
11/14/14,329
11/15/14,144
11/16/14,151
11/17/14,362
11/18/14,398
11/19/14,362
11/20/14,385
11/21/14,340
11/22/14,160
11/23/14,152
11/24/14,383
11/25/14,429
11/26/14,393
11/27/14,330
11/28/14,320
11/29/14,140
11/30/14,164
12/1/14,368
12/2/14,392
12/3/14,421
12/4/14,462
12/5/14,378
12/6/14,153
12/7/14,169
12/8/14,376
12/9/14,410
12/10/14,341
12/11/14,396
12/12/14,329
12/13/14,150
12/14/14,152
12/15/14,694
12/16/14,534
12/17/14,504
12/18/14,796
12/19/14,539
12/20/14,207
12/21/14,225
12/22/14,442
12/23/14,387
12/24/14,265
12/25/14,148
12/26/14,216
12/27/14,154
12/28/14,143
12/29/14,303
12/30/14,278
12/31/14,216
1/1/15,222
1/2/15,549
1/3/15,200
1/4/15,205
1/5/15,506
